subject_id,compound,region,value,unit
35,DA,NAc,1.71029,ng/mg
41,DA,NAc,1.43902,ng/mg
45,DA,NAc,1.10384,ng/mg
49,DA,NAc,3.08589,ng/mg
52,DA,NAc,2.95418,ng/mg
58,DA,NAc,2.98961,ng/mg
61,DA,NAc,2.7132,ng/mg
66,DA,NAc,4.34323,ng/mg
69,DA,NAc,3.15283,ng/mg
2,DA,VM,0.48679,ng/mg
5,DA,VM,1.98606,ng/mg
7,DA,VM,4.69902,ng/mg
9,DA,VM,3.28137,ng/mg
11,DA,VM,4.21154,ng/mg
17,DA,VM,0.98318,ng/mg
20,DA,VM,3.37882,ng/mg
28,DA,VM,3.51278,ng/mg
32,DA,VM,5.10354,ng/mg
59,DA,VM,3.69815,ng/mg
67,DA,VM,5.42121,ng/mg
16,DA,VM,4.18143,ng/mg
18,DA,VM,3.58163,ng/mg
19,DA,VM,4.74422,ng/mg
22,DA,VM,3.48811,ng/mg
27,DA,VM,5.39964,ng/mg
30,DA,VM,3.84409,ng/mg
37,DA,VM,3.52272,ng/mg
39,DA,VM,3.49803,ng/mg
46,DA,VM,4.72003,ng/mg
53,DA,VM,4.19383,ng/mg
55,DA,VM,5.27096,ng/mg
23,DA,VM,4.34076,ng/mg
24,DA,VM,4.0222,ng/mg
31,DA,VM,3.18741,ng/mg
36,DA,VM,4.75403,ng/mg
38,DA,VM,3.53573,ng/mg
40,DA,VM,2.78447,ng/mg
44,DA,VM,3.63946,ng/mg
50,DA,VM,4.11348,ng/mg
51,DA,VM,2.97159,ng/mg
57,DA,VM,3.50514,ng/mg
21,DA,VM,2.72599,ng/mg
25,DA,VM,,ng/mg
35,DA,VM,1.34789,ng/mg
41,DA,VM,6.45271,ng/mg
45,DA,VM,4.35885,ng/mg
49,DA,VM,4.68694,ng/mg
52,DA,VM,3.21439,ng/mg
58,DA,VM,5.22397,ng/mg
61,DA,VM,2.90372,ng/mg
66,DA,VM,4.69424,ng/mg
69,DA,VM,4.4486,ng/mg
2,DA,DM,2.46321,ng/mg
5,DA,DM,2.07865,ng/mg
7,DA,DM,4.27991,ng/mg
9,DA,DM,4.93303,ng/mg
11,DA,DM,4.5337,ng/mg
17,DA,DM,2.69225,ng/mg
20,DA,DM,3.16216,ng/mg
28,DA,DM,6.47689,ng/mg
32,DA,DM,5.01528,ng/mg
59,DA,DM,2.87254,ng/mg
67,DA,DM,5.23924,ng/mg
16,DA,DM,4.35241,ng/mg
18,DA,DM,5.26264,ng/mg
19,DA,DM,3.06318,ng/mg
22,DA,DM,3.64116,ng/mg
27,DA,DM,5.79308,ng/mg
30,DA,DM,3.88589,ng/mg
37,DA,DM,2.67073,ng/mg
39,DA,DM,3.15681,ng/mg
46,DA,DM,3.39159,ng/mg
53,DA,DM,3.27374,ng/mg
55,DA,DM,4.29773,ng/mg
23,DA,DM,5.90994,ng/mg
24,DA,DM,4.14567,ng/mg
31,DA,DM,3.79191,ng/mg
36,DA,DM,3.17939,ng/mg
38,DA,DM,4.37179,ng/mg
40,DA,DM,5.80834,ng/mg
44,DA,DM,4.7395,ng/mg
50,DA,DM,3.89055,ng/mg
51,DA,DM,5.14343,ng/mg
57,DA,DM,4.12672,ng/mg
21,DA,DM,4.18921,ng/mg
25,DA,DM,3.03441,ng/mg
35,DA,DM,5.00665,ng/mg
41,DA,DM,6.93497,ng/mg
45,DA,DM,3.9933,ng/mg
49,DA,DM,3.58845,ng/mg
52,DA,DM,3.51208,ng/mg
58,DA,DM,4.87239,ng/mg
61,DA,DM,4.93445,ng/mg
66,DA,DM,6.52194,ng/mg
69,DA,DM,5.56446,ng/mg
2,DA,VL,2.72634,ng/mg
5,DA,VL,6.37105,ng/mg
7,DA,VL,6.59706,ng/mg
9,DA,VL,5.97787,ng/mg
11,DA,VL,8.3508,ng/mg
17,DA,VL,6.02184,ng/mg
20,DA,VL,7.33364,ng/mg
28,DA,VL,7.6374,ng/mg
32,DA,VL,8.83563,ng/mg
59,DA,VL,7.58243,ng/mg
67,DA,VL,8.57634,ng/mg
16,DA,VL,7.11672,ng/mg
18,DA,VL,8.58035,ng/mg
19,DA,VL,9.54096,ng/mg
22,DA,VL,9.28237,ng/mg
27,DA,VL,10.15987,ng/mg
30,DA,VL,6.27394,ng/mg
