subject_id,region,value,unit
14,V1,2.09999999999999,mg
14,M1,1.39999999999996,mg
14,aCC,2.70000000000004,mg
14,DLG,1.60000000000005,mg
14,VTA,3.40000000000007,mg
14,S1R,2.69999999999992,mg
14,dH,1.90000000000001,mg
14,vH,2.59999999999999,mg
14,DL,1.4,mg
14,DM,1.6,mg
14,VM,1.299999999999968,mg
14,VL,1.700000000000035,mg
14,DR,1.3,mg
14,CB,3.39999999999996,mg
14,AC,1.39999999999996,mg
14,MD,1.4,mg
14,SC,1.29999999999997,mg
14,MR,1.7,mg
14,VPR,2.20000000000004,mg
14,VPL,0.800000000000023,mg
14,SN,2.19999999999998,mg
14,S1L,2.59999999999999,mg
14,S1L6R,2.5,mg
14,A,2.2,mg
14,S1L6L,1.8,mg
14,IC,2.19999999999998,mg
15,OF,1.49999999999995,mg
15,NAc,2.2,mg
15,PL,1.900000000000013,mg
15,HY,1.0,mg
15,SJ,1.7,mg
15,V1,1.09999999999999,mg
15,M1,0.499999999999945,mg
15,aCC,1.49999999999995,mg
15,DLG,1.80000000000002,mg
15,VTA,1.299999999999968,mg
15,S1R,4.09999999999999,mg
15,dH,2.19999999999998,mg
15,vH,2.59999999999994,mg
15,DL,2.2,mg
15,DM,1.7,mg
15,VM,1.400000000000068,mg
15,VL,2.19999999999998,mg
15,DR,1.1,mg
15,CB,1.0,mg
15,AC,1.69999999999992,mg
15,MD,1.1,mg
15,SC,0.699999999999978,mg
15,MR,1.0,mg
15,VPR,2.09999999999999,mg
15,VPL,1.90000000000001,mg
15,SN,2.14,mg
15,S1L,2.59999999999999,mg
15,S1L6R,2.1,mg
15,A,2.5,mg
15,S1L6L,2.7,mg
15,IC,1.90000000000001,mg
26,OF,2.30000000000008,mg
26,NAc,2.0,mg
26,PL,2.099999999999991,mg
26,HY,1.6,mg
26,SJ,2.1,mg
26,V1,3.20000000000009,mg
26,M1,1.90000000000001,mg
26,aCC,2.0,mg
26,DLG,2.60000000000005,mg
26,VTA,2.800000000000025,mg
26,S1R,3.0,mg
26,dH,3.30000000000008,mg
26,vH,3.19999999999998,mg
26,DL,2.5,mg
26,DM,1.8,mg
26,VM,1.500000000000057,mg
26,VL,2.399999999999958,mg
26,DR,1.7,mg
26,CB,3.29999999999997,mg
26,AC,2.19999999999998,mg
26,MD,1.5,mg
26,SC,1.819,mg
26,MR,2.0,mg
26,VPR,1.69999999999992,mg
26,VPL,1.39999999999996,mg
26,SN,2.399999999999958,mg
26,S1L,4.09999999999999,mg
26,S1L6R,3.5,mg
26,A,2.5,mg
26,S1L6L,3.6,mg
26,IC,2.09999999999999,mg
29,OF,1.80000000000002,mg
29,NAc,2.0,mg
29,PL,2.19999999999998,mg
29,HY,2.3,mg
29,SJ,1.8,mg
29,V1,2.60000000000005,mg
29,M1,2.0,mg
29,aCC,1.80000000000002,mg
29,DLG,1.59999999999993,mg
29,VTA,2.19999999999998,mg
29,S1R,3.29,mg
29,dH,2.0,mg
29,vH,2.30000000000002,mg
29,DL,2.6,mg
29,DM,1.8,mg
29,VM,2.800000000000025,mg
29,VL,2.099999999999991,mg
29,DR,1.3,mg
29,CB,2.89999999999996,mg
29,AC,2.0,mg
29,MD,1.8,mg
29,SC,1.50000000000006,mg
29,MR,1.9,mg
29,VPR,2.0,mg
29,VPL,1.70000000000003,mg
29,SN,1.900000000000013,mg
29,S1L,2.80000000000002,mg
29,S1L6R,3.1,mg
29,A,1.9,mg
29,S1L6L,3.0,mg
29,IC,2.59999999999994,mg
34,OF,1.90000000000001,mg
34,NAc,1.9,mg
34,PL,1.900000000000013,mg
34,HY,1.5,mg
34,SJ,1.2,mg
34,V1,1.80000000000002,mg
34,M1,1.60000000000005,mg
34,aCC,1.70000000000003,mg
34,DLG,1.09999999999999,mg
34,VTA,2.000000000000002,mg
34,S1R,2.80000000000002,mg
34,dH,2.09999999999999,mg
34,vH,2.29999999999997,mg
34,DL,1.7,mg
34,DM,1.5,mg
34,VM,1.799999999999968,mg
34,VL,1.600000000000046,mg
34,DR,1.9,mg
34,CB,2.80000000000002,mg
34,AC,1.09999999999999,mg
34,MD,1.4,mg
34,SC,1.59999999999993,mg
34,MR,1.9,mg
34,VPR,1.59999999999999,mg
34,VPL,1.49999999999995,mg
34,SN,1.600000000000046,mg
34,S1L,1.70000000000003,mg
34,S1L6R,2.1,mg
34,A,2.7,mg
34,S1L6L,2.0,mg
34,IC,1.80000000000002,mg
42,OF,1.70000000000003,mg
42,NAc,2.8,mg
42,PL,2.200000000000091,mg
42,HY,1.8,mg
42,SJ,1.1,mg
42,V1,1.60000000000005,mg
42,M1,2.09999999999999,mg
42,aCC,2.0,mg
42,DLG,1.19999999999998,mg
42,VTA,1.900000000000013,mg
42,S1R,4.30000000000003,mg
42,dH,1.69999999999998,mg
42,vH,1.90000000000001,mg
42,DL,1.5,mg
42,DM,1.8,mg
42,VM,1.199999999999979,mg
42,VL,1.600000000000046,mg
42,DR,1.9,mg
42,CB,2.39999999999996,mg
42,AC,1.39999999999996,mg
42,MD,1.9,mg
42,SC,1.50000000000006,mg
42,MR,1.7,mg
42,VPR,2.09999999999999,mg
42,VPL,1.80000000000002,mg
42,SN,2.000000000000002,mg
42,S1L,2.69999999999992,mg
42,S1L6R,2.7,mg
42,A,2.0,mg
42,S1L6L,2.3,mg
42,IC,2.09999999999999,mg
48,OF,1.29999999999997,mg
48,NAc,1.6,mg
48,PL,2.000000000000002,mg
48,HY,1.2,mg
48,SJ,1.4,mg
48,V1,1.90000000000001,mg
48,M1,1.39999999999996,mg
48,aCC,1.90000000000001,mg
48,DLG,1.69999999999998,mg
48,VTA,2.000000000000002,mg
48,S1R,3.80000000000003,mg
48,dH,2.09999999999999,mg
48,vH,2.0,mg
48,DL,1.7,mg
48,DM,1.9,mg
48,VM,1.199999999999979,mg
48,VL,2.900000000000014,mg
48,DR,1.5,mg
48,CB,2.80000000000002,mg
48,AC,1.19999999999998,mg
48,MD,1.4,mg
48,SC,1.39999999999996,mg
48,MR,1.4,mg
48,VPR,1.0,mg
48,VPL,1.20000000000003,mg
48,SN,2.000000000000002,mg
48,S1L,2.0,mg
48,S1L6R,2.8,mg
48,A,2.6,mg
48,S1L6L,2.0,mg
48,IC,1.90000000000001,mg
63,OF,1.20000000000003,mg
63,NAc,1.8,mg
63,PL,2.300000000000024,mg
63,HY,2.1,mg
63,SJ,1.6,mg
63,V1,1.70000000000003,mg
63,M1,1.40000000000001,mg
63,aCC,2.29999999999997,mg
63,DLG,1.90000000000001,mg
